target	frequency
regex=[Bb][Oo][Nn][Hh][Ee][Uu][RrSs]?	1212
bonheur	1134
Bonheur	72
BONHEUR	5
bOnHeUR	1

token	corpus size	all contexts size	frequency	co-frequency	specificity
chagrin	24995	15566	2	2	0.41
s'additionne	24995	15566	2	2	0.41
n'aime	24995	15566	2	2	0.41
aucun	24995	15566	2	2	0.41
somme	24995	15566	2	2	0.41
s'intéresse	24995	15566	2	2	0.41
��elle	24995	15566	2	2	0.41
t'il	24995	15566	2	2	0.41
fugace	24995	15566	2	2	0.41
vivons	24995	15566	2	2	0.41
Ikigai	24995	15566	2	2	0.41
japonaise	24995	15566	2	2	0.41
intervenants	24995	15566	2	2	0.41
Definition	24995	15566	2	2	0.41
permettant	24995	15566	2	2	0.41
rajouter	24995	15566	2	2	0.41
ajouté	24995	15566	2	2	0.41
légende	24995	15566	2	2	0.41
expression	24995	15566	2	2	0.41
large	24995	15566	2	2	0.41
preuve	24995	15566	2	2	0.41
philosophie	24995	15566	2	2	0.41
S'il	24995	15566	2	2	0.41
privilège	24995	15566	2	2	0.41
No�	24995	15566	2	2	0.41
adoré	24995	15566	2	2	0.41
résumé	24995	15566	2	2	0.41
moindre	24995	15566	2	2	0.41
resserrer	24995	15566	2	2	0.41
efficace	24995	15566	2	2	0.41
remboursé	24995	15566	2	2	0.41
sociale	24995	15566	2	2	0.41
souris	24995	15566	2	2	0.41
super	24995	15566	2	2	0.41
résultats	24995	15566	2	2	0.41
d'après	24995	15566	2	2	0.41
frein	24995	15566	2	2	0.41
tres	24995	15566	2	2	0.41
pouvez	24995	15566	2	2	0.41
jouir	24995	15566	2	2	0.41
apres	24995	15566	2	2	0.41
pays	24995	15566	2	2	0.41
rapide	24995	15566	2	2	0.41
constater	24995	15566	2	2	0.41
satisfaite	24995	15566	2	2	0.41
zhom	24995	15566	2	2	0.41
aimer	24995	15566	2	2	0.41
vécu	24995	15566	2	2	0.41
vivrait	24995	15566	2	2	0.41
prolongé	24995	15566	2	2	0.41
desservirait	24995	15566	2	2	0.41
chimère	24995	15566	2	2	0.41
préoccuper	24995	15566	2	2	0.41
d'apres	24995	15566	2	2	0.41
liberte	24995	15566	2	2	0.41
enquête	24995	15566	2	2	0.41
arrêté	24995	15566	2	2	0.41
écart	24995	15566	2	2	0.41
millimètre	24995	15566	2	2	0.41
Philosophie	24995	15566	2	2	0.41
donnez	24995	15566	2	2	0.41
propriétaire	24995	15566	2	2	0.41
sortes	24995	15566	2	2	0.41
sleep	24995	15566	2	2	0.41
fixés	24995	15566	2	2	0.41
sain	24995	15566	2	2	0.41
célibataire	24995	15566	2	2	0.41
parfait	24995	15566	2	2	0.41
rejoint	24995	15566	2	2	0.41
Carly	24995	15566	2	2	0.41
travailler	24995	15566	2	2	0.41
endurer	24995	15566	2	2	0.41
Very	24995	15566	2	2	0.41
Happy	24995	15566	2	2	0.41
constamment	24995	15566	2	2	0.41
d'étaler	24995	15566	2	2	0.41
blog	24995	15566	2	2	0.41
��instant	24995	15566	2	2	0.41
apprendre	24995	15566	2	2	0.41
��esprit	24995	15566	2	2	0.41
stoempcarotte	24995	15566	2	2	0.41
remplie	24995	15566	2	2	0.41
avc	24995	15566	2	2	0.41
rires	24995	15566	2	2	0.41
soufir	24995	15566	2	2	0.41
meilleur	24995	15566	2	2	0.41
vien	24995	15566	2	2	0.41
m'ariver	24995	15566	2	2	0.41
résurection	24995	15566	2	2	0.41
endormie	24995	15566	2	2	0.41
envi	24995	15566	2	2	0.41
réssucité	24995	15566	2	2	0.41
savourer	24995	15566	2	2	0.41
sport	24995	15566	2	2	0.41
forum	24995	15566	3	2	0.36
possède	24995	15566	3	2	0.36
vont	24995	15566	3	2	0.36
pleine	24995	15566	3	2	0.36
Salut	24995	15566	3	2	0.36
bagues	24995	15566	3	2	0.36
vite	24995	15566	3	2	0.36
Hello	24995	15566	3	2	0.36
messages	24995	15566	3	2	0.36
l'état	24995	15566	3	2	0.36
gros	24995	15566	3	2	0.36
défaut	24995	15566	3	2	0.36
QI	24995	15566	3	2	0.36
entendu	24995	15566	3	2	0.36
avril	24995	15566	3	2	0.36
penser	24995	15566	3	2	0.36
main	24995	15566	3	2	0.36
droit	24995	15566	3	2	0.36
l'aboutissement	24995	15566	3	2	0.36
dernière	24995	15566	3	2	0.36
besoins	24995	15566	3	2	0.36
Bien	24995	15566	3	2	0.36
DC	24995	15566	3	2	0.36
l'est	24995	15566	3	2	0.36
qu'être	24995	15566	3	2	0.36
immédiat	24995	15566	3	2	0.36
v	24995	15566	3	2	0.36
Sujets	24995	15566	3	2	0.36
Benoist	24995	15566	3	2	0.36
Rousseau	24995	15566	3	2	0.36
rare	24995	15566	3	2	0.36
cours	24995	15566	3	2	0.36
ailleurs	24995	15566	3	2	0.36
pensées	24995	15566	3	2	0.36
h	24995	15566	3	2	0.36
l'ai	24995	15566	3	2	0.36
rencontre	24995	15566	3	2	0.36
champs	24995	15566	3	2	0.36
lu	24995	15566	3	2	0.36
plutot	24995	15566	3	2	0.36
garder	24995	15566	3	2	0.36
norme	24995	15566	3	2	0.36
désirs	24995	15566	3	2	0.36
réponses	24995	15566	3	2	0.36
voulais	24995	15566	3	2	0.36
Wink	24995	15566	3	2	0.36
devrait	24995	15566	3	2	0.36
deuxième	24995	15566	3	2	0.36
finalement	24995	15566	3	2	0.36
cerveau	24995	15566	3	2	0.36
C'	24995	15566	3	2	0.36
nager	24995	15566	3	2	0.36
mère	24995	15566	3	2	0.36
côtés	24995	15566	3	2	0.36
Se	24995	15566	3	2	0.36
bébé	24995	15566	3	2	0.36
connaître	24995	15566	3	2	0.36
Agnès	24995	15566	3	2	0.36
force	24995	15566	3	2	0.36
femmes	24995	15566	3	2	0.36
agréable	24995	15566	3	2	0.36
n'ont	24995	15566	3	2	0.36
Chacun	24995	15566	3	2	0.36
propose	24995	15566	3	2	0.36
philosophe	24995	15566	3	2	0.36
Camping	24995	15566	3	2	0.36
ect	24995	15566	3	2	0.36
parfaitement	24995	15566	3	2	0.36
resserrement	24995	15566	3	2	0.36
J'avais	24995	15566	3	2	0.36
différence	24995	15566	3	2	0.36
hors	24995	15566	3	2	0.36
��arrive	24995	15566	3	2	0.36
faite	24995	15566	3	2	0.36
clef	24995	15566	3	2	0.36
teinte	24995	15566	3	2	0.36
venir	24995	15566	3	2	0.36
réside	24995	15566	3	2	0.36
Jai	24995	15566	3	2	0.36
reçois	24995	15566	3	2	0.36
Beaucoup	24995	15566	3	2	0.36
juin	24995	15566	3	2	0.36
lang	24995	15566	2	1	0.33
êtes	24995	15566	2	1	0.33
catégories	24995	15566	2	1	0.33
parti	24995	15566	2	1	0.33
entendre	24995	15566	2	1	0.33
parait	24995	15566	2	1	0.33
uns	24995	15566	2	1	0.33
contrainte	24995	15566	2	1	0.33
calin	24995	15566	2	1	0.33
étoiles	24995	15566	2	1	0.33
age	24995	15566	2	1	0.33
Coucou	24995	15566	2	1	0.33
amie	24995	15566	2	1	0.33
précise	24995	15566	2	1	0.33
eaux	24995	15566	2	1	0.33
continuation	24995	15566	2	1	0.33
Plein	24995	15566	2	1	0.33
lueur	24995	15566	2	1	0.33
d'espoir	24995	15566	2	1	0.33
modèle	24995	15566	2	1	0.33
Bhoutan	24995	15566	2	1	0.33
national	24995	15566	2	1	0.33
brut	24995	15566	2	1	0.33
faits	24995	15566	2	1	0.33
paraît	24995	15566	2	1	0.33
impossible	24995	15566	2	1	0.33
l'avoir	24995	15566	2	1	0.33
matérialisme	24995	15566	2	1	0.33
lève	24995	15566	2	1	0.33
victoire	24995	15566	2	1	0.33
d'aider	24995	15566	2	1	0.33
décider	24995	15566	2	1	0.33
d'aller	24995	15566	2	1	0.33
J'en	24995	15566	2	1	0.33
internet	24995	15566	2	1	0.33
Jan	24995	15566	2	1	0.33
l'autre	24995	15566	2	1	0.33
deviennent	24995	15566	2	1	0.33
élevé	24995	15566	2	1	0.33
Pikachu	24995	15566	2	1	0.33
Bonheuroldid	24995	15566	2	1	0.33
romantisme	24995	15566	2	1	0.33
sentiments	24995	15566	2	1	0.33
passion	24995	15566	2	1	0.33
Cela	24995	15566	2	1	0.33
héritiers	24995	15566	2	1	0.33
aspire	24995	15566	2	1	0.33
Sa	24995	15566	2	1	0.33
sauf	24995	15566	2	1	0.33
précisément	24995	15566	2	1	0.33
Voltaire	24995	15566	2	1	0.33
Autrement	24995	15566	2	1	0.33
conséquent	24995	15566	2	1	0.33
cheminement	24995	15566	2	1	0.33
raisonnement	24995	15566	2	1	0.33
Concernant	24995	15566	2	1	0.33
atteignable	24995	15566	2	1	0.33
rapproche	24995	15566	2	1	0.33
complètement	24995	15566	2	1	0.33
dommage	24995	15566	2	1	0.33
rejet	24995	15566	2	1	0.33
consiste	24995	15566	2	1	0.33
pure	24995	15566	2	1	0.33
acquis	24995	15566	2	1	0.33
étapes	24995	15566	2	1	0.33
l'a	24995	15566	2	1	0.33
santé	24995	15566	2	1	0.33
diverses	24995	15566	2	1	0.33
s'y	24995	15566	2	1	0.33
s'il	24995	15566	2	1	0.33
x	24995	15566	2	1	0.33
questionnement	24995	15566	2	1	0.33
pensent	24995	15566	2	1	0.33
émotions	24995	15566	2	1	0.33
��as	24995	15566	2	1	0.33
retraite	24995	15566	2	1	0.33
