target	frequency
regex=[Bb][Oo][Nn][Hh][Ee][Uu][RrSs]?	1212
bonheur	1134
Bonheur	72
BONHEUR	5
bOnHeUR	1

token	corpus size	all contexts size	frequency	co-frequency	specificity
l'individu	24995	15566	4	4	0.82
psychologique	24995	15566	4	4	0.82
vérité	24995	15566	4	4	0.82
chad	24995	15566	4	4	0.82
d'etre	24995	15566	4	4	0.82
bouddhiste	24995	15566	4	4	0.82
objectif	24995	15566	4	4	0.82
général	24995	15566	4	4	0.82
égo�	24995	15566	4	4	0.82
ste	24995	15566	4	4	0.82
reflet	24995	15566	4	4	0.82
concevoir	24995	15566	4	4	0.82
égoiste	24995	15566	4	4	0.82
notions	24995	15566	4	4	0.82
tourner	24995	15566	4	4	0.82
prend	24995	15566	4	4	0.82
d'amour	24995	15566	4	4	0.82
notes	24995	15566	4	4	0.82
citations	24995	15566	4	4	0.82
formidables	24995	15566	4	4	0.82
joli	24995	15566	4	4	0.82
Atil	24995	15566	4	4	0.82
contentement	24995	15566	4	4	0.82
envieux	24995	15566	4	4	0.82
LE	24995	15566	4	4	0.82
votre	24995	15566	15	11	0.82
Un	24995	15566	15	11	0.82
simplement	24995	15566	15	11	0.82
d'être	24995	15566	15	11	0.82
ans	24995	15566	29	18	0.82
question	24995	15566	28	18	0.82
chance	24995	15566	7	6	0.81
fin	24995	15566	7	6	0.81
ah	24995	15566	7	6	0.81
lien	24995	15566	7	6	0.81
était	24995	15566	7	6	0.81
e	24995	15566	7	6	0.81
qu'à	24995	15566	7	6	0.81
quelle	24995	15566	7	6	0.81
France	24995	15566	7	6	0.81
Que	24995	15566	7	6	0.81
deux	24995	15566	24	16	0.81
avoir	24995	15566	27	17	0.80
heureuse	24995	15566	26	16	0.80
sujet	24995	15566	23	15	0.78
te	24995	15566	23	15	0.78
mes	24995	15566	23	15	0.78
sais	24995	15566	21	14	0.78
serait	24995	15566	21	14	0.78
moment	24995	15566	21	14	0.78
juste	24995	15566	23	14	0.78
vraiment	24995	15566	21	13	0.75
quelque	24995	15566	14	10	0.75
d'accord	24995	15566	14	10	0.75
aux	24995	15566	16	11	0.74
sait	24995	15566	9	7	0.73
etre	24995	15566	9	7	0.73
oui	24995	15566	18	11	0.72
va	24995	15566	17	11	0.71
soit	24995	15566	17	11	0.71
d'une	24995	15566	17	11	0.71
d'avoir	24995	15566	11	8	0.70
avez	24995	15566	11	8	0.70
Lumières	24995	15566	11	8	0.70
vouloir	24995	15566	11	8	0.70
mieux	24995	15566	11	8	0.70
tendance	24995	15566	11	8	0.70
vit	24995	15566	11	8	0.70
pourquoi	24995	15566	15	10	0.70
partie	24995	15566	16	10	0.69
comment	24995	15566	16	10	0.69
été	24995	15566	16	10	0.69
entre	24995	15566	16	10	0.69
autre	24995	15566	15	9	0.69
��	24995	15566	15	9	0.69
construire	24995	15566	6	5	0.67
