target	frequency
regex=[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Ee]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Aa]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Uu]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Ee][Mm]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Ee]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Aa]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Uu]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Ee][Mm]:?,?	1496
szczęście	587
szczęścia	388
szczescie	182
Szczęście	145
szczęściem	50
SZCZĘŚCIE	29
szczescia	26
Szczescie	25
szczęściu	20
Szczęściem	18
Szczęścia	10
szczesciem	10
Szczesciem	4
szczesciu	2

token	corpus size	all contexts size	frequency	co-frequency	specificity
dlaczego	23416	14658	5	5	1.02
old	23416	14658	5	5	1.02
mona	23416	14658	5	5	1.02
liwe	23416	14658	5	5	1.02
sukces	23416	14658	5	5	1.02
dostrzec	23416	14658	5	5	1.02
motyl	23416	14658	5	5	1.02
RECEPTA	23416	14658	5	5	1.02
ziemi	23416	14658	5	5	1.02
Znalezione	23416	14658	5	5	1.02
zapytania	23416	14658	5	5	1.02
daleh	23416	14658	5	5	1.02
permanentne	23416	14658	5	5	1.02
marzenie	23416	14658	5	5	1.02
stan	23416	14658	20	15	1.00
Na	23416	14658	20	15	1.00
ni�	23416	14658	17	13	0.98
trzeba	23416	14658	25	18	0.97
pieni�	23416	14658	30	21	0.96
prostu	23416	14658	14	11	0.96
zyciu	23416	14658	8	7	0.95
niezale�	23416	14658	8	7	0.95
lecz	23416	14658	8	7	0.95
choć	23416	14658	8	7	0.95
pieniadze	23416	14658	8	7	0.95
umys�	23416	14658	8	7	0.95
po�	23416	14658	8	7	0.95
moze	23416	14658	11	9	0.94
tu	23416	14658	11	9	0.94
mi�	23416	14658	37	25	0.94
coś	23416	14658	48	30	0.93
ycie	23416	14658	47	30	0.93
chyba	23416	14658	36	24	0.91
temat	23416	14658	16	12	0.89
aby	23416	14658	16	12	0.89
osoby	23416	14658	16	12	0.89
rym	23416	14658	16	12	0.89
wtedy	23416	14658	30	20	0.86
r	23416	14658	34	22	0.86
Je�	23416	14658	13	10	0.86
os	23416	14658	13	10	0.86
ni	23416	14658	13	10	0.86
eby	23416	14658	13	10	0.86
gdy	23416	14658	34	21	0.86
więcej	23416	14658	18	13	0.85
takie	23416	14658	29	19	0.83
chodzi	23416	14658	10	8	0.83
oby	23416	14658	10	8	0.83
znale�	23416	14658	10	8	0.83
gn�	23416	14658	28	18	0.81
sensu	23416	14658	4	4	0.81
Inne	23416	14658	4	4	0.81
zastanowić	23416	14658	4	4	0.81
pewnym	23416	14658	4	4	0.81
ktore	23416	14658	4	4	0.81
poniewa�	23416	14658	4	4	0.81
t	23416	14658	4	4	0.81
szczęściara	23416	14658	4	4	0.81
Dyskusja	23416	14658	4	4	0.81
lna	23416	14658	4	4	0.81
bergamotka	23416	14658	4	4	0.81
pieniędzmi	23416	14658	4	4	0.81
jola	23416	14658	4	4	0.81
kotka	23416	14658	4	4	0.81
kosmos	23416	14658	4	4	0.81
cruella	23416	14658	4	4	0.81
demon	23416	14658	4	4	0.81
cus	23416	14658	4	4	0.81
braku	23416	14658	4	4	0.81
czuć	23416	14658	4	4	0.81
trwa�	23416	14658	4	4	0.81
dzielić	23416	14658	4	4	0.81
wasze	23416	14658	4	4	0.81
a�	23416	14658	4	4	0.81
chcia�	23416	14658	4	4	0.81
milamala	23416	14658	4	4	0.81
przede	23416	14658	4	4	0.81
anilka	23416	14658	4	4	0.81
samuela	23416	14658	4	4	0.81
vimes	23416	14658	4	4	0.81
martha	23416	14658	4	4	0.81
marcy	23416	14658	4	4	0.81
may	23416	14658	4	4	0.81
marlene	23416	14658	4	4	0.81
niczym	23416	14658	4	4	0.81
rymi	23416	14658	4	4	0.81
szkoda	23416	14658	4	4	0.81
receptę	23416	14658	4	4	0.81
lipiec	23416	14658	4	4	0.81
silverkey	23416	14658	4	4	0.81
nienawiści	23416	14658	4	4	0.81
rze�	23416	14658	4	4	0.81
Philip	23416	14658	4	4	0.81
Kapleau	23416	14658	4	4	0.81
szukaj	23416	14658	4	4	0.81
celu	23416	14658	4	4	0.81
Jezus	23416	14658	4	4	0.81
Zobacz	23416	14658	4	4	0.81
Temat	23416	14658	4	4	0.81
nieosi�	23416	14658	4	4	0.81
Międzynarodowy	23416	14658	4	4	0.81
August	23416	14658	4	4	0.81
Stycze�	23416	14658	4	4	0.81
grudnia	23416	14658	4	4	0.81
potrafimy	23416	14658	4	4	0.81
majolika	23416	14658	4	4	0.81
zalezy	23416	14658	4	4	0.81
Kobiet	23416	14658	4	4	0.81
PSYCHOLOGIA	23416	14658	4	4	0.81
spos	23416	14658	15	11	0.81
nigdy	23416	14658	15	11	0.81
owieka	23416	14658	22	15	0.81
da	23416	14658	24	16	0.81
ta	23416	14658	7	6	0.80
oraz	23416	14658	7	6	0.80
ciep�	23416	14658	7	6	0.80
lipca	23416	14658	7	6	0.80
dnia	23416	14658	7	6	0.80
rę	23416	14658	7	6	0.80
ten	23416	14658	25	16	0.79
przez	23416	14658	17	12	0.79
praca	23416	14658	21	14	0.77
potrafię	23416	14658	12	9	0.77
nawet	23416	14658	20	13	0.74
czas	23416	14658	20	13	0.74
chwila	23416	14658	14	10	0.74
uwa�	23416	14658	18	12	0.74
smile	23416	14658	16	11	0.73
wiem	23416	14658	19	12	0.73
pewno	23416	14658	9	7	0.72
milosc	23416	14658	9	7	0.72
inaczej	23416	14658	9	7	0.72
same	23416	14658	9	7	0.72
mieć	23416	14658	17	11	0.71
teraz	23416	14658	17	11	0.71
nic	23416	14658	16	10	0.69
rodzina	23416	14658	16	10	0.69
cieszyć	23416	14658	16	10	0.69
byc	23416	14658	15	10	0.69
brak	23416	14658	11	8	0.69
gdzie	23416	14658	11	8	0.69
le	23416	14658	11	8	0.69
wi	23416	14658	11	8	0.69
ości	23416	14658	11	8	0.69
dać	23416	14658	11	8	0.69
ca	23416	14658	11	8	0.69
ci�	23416	14658	13	9	0.68
czymś	23416	14658	13	9	0.68
cego	23416	14658	6	5	0.67
naszym	23416	14658	6	5	0.67
chwilowe	23416	14658	6	5	0.67
zewnętrznych	23416	14658	6	5	0.67
szukać	23416	14658	6	5	0.67
Dlatego	23416	14658	6	5	0.67
sprawia	23416	14658	6	5	0.67
naszego	23416	14658	6	5	0.67
liwość	23416	14658	6	5	0.67
dzięki	23416	14658	6	5	0.67
Moje	23416	14658	6	5	0.67
ka	23416	14658	6	5	0.67
ksi�	23416	14658	6	5	0.67
radość	23416	14658	14	9	0.66
nich	23416	14658	13	8	0.65
mog�	23416	14658	13	8	0.65
o�	23416	14658	13	8	0.65
jego	23416	14658	12	8	0.64
Tak	23416	14658	12	8	0.64
Mo�	23416	14658	12	8	0.64
p	23416	14658	12	8	0.64
poczucia	23416	14658	8	6	0.63
spok	23416	14658	8	6	0.63
lat	23416	14658	8	6	0.63
sami	23416	14658	8	6	0.63
przecie�	23416	14658	8	6	0.63
Twoje	23416	14658	8	6	0.63
Kana�	23416	14658	8	6	0.63
marzenia	23416	14658	8	6	0.63
uczucie	23416	14658	10	7	0.63
dopiero	23416	14658	10	7	0.63
rzy	23416	14658	10	7	0.63
taki	23416	14658	10	7	0.63
ile	23416	14658	10	7	0.63
ono	23416	14658	10	7	0.63
radości	23416	14658	10	7	0.63
mojego	23416	14658	10	7	0.63
wszyscy	23416	14658	11	7	0.61
cy	23416	14658	11	7	0.61
sam	23416	14658	11	7	0.61
zwyk�	23416	14658	11	7	0.61
wszystkim	23416	14658	11	7	0.61
stanem	23416	14658	3	3	0.61
rego	23416	14658	3	3	0.61
le�	23416	14658	3	3	0.61
wzrasta	23416	14658	3	3	0.61
czujemy	23416	14658	3	3	0.61
negatywna	23416	14658	3	3	0.61
jstwa	23416	14658	3	3	0.61
uniesienie	23416	14658	3	3	0.61
spowodowane	23416	14658	3	3	0.61
myśla�	23416	14658	3	3	0.61
uzale�	23416	14658	3	3	0.61
zastanawia	23416	14658	3	3	0.61
Inni	23416	14658	3	3	0.61
mieli	23416	14658	3	3	0.61
najlepsza	23416	14658	3	3	0.61
Od	23416	14658	3	3	0.61
pewnymi	23416	14658	3	3	0.61
aspektami	23416	14658	3	3	0.61
wiec	23416	14658	3	3	0.61
Lipiec	23416	14658	3	3	0.61
kasa	23416	14658	3	3	0.61
gwarantuj�	23416	14658	3	3	0.61
pozwalaj�	23416	14658	3	3	0.61
pierzasty	23416	14658	3	3	0.61
grru	23416	14658	3	3	0.61
tiszantul	23416	14658	3	3	0.61
cosmetic	23416	14658	3	3	0.61
wipes	23416	14658	3	3	0.61
inna	23416	14658	3	3	0.61
majenkir	23416	14658	3	3	0.61
jolie	23416	14658	3	3	0.61
sumire	23416	14658	3	3	0.61
tzw	23416	14658	3	3	0.61
kr	23416	14658	3	3	0.61
kota	23416	14658	3	3	0.61
pr	23416	14658	3	3	0.61
Psychologia	23416	14658	3	3	0.61
Wasza	23416	14658	3	3	0.61
dzisiaj	23416	14658	3	3	0.61
wewnętrzne	23416	14658	3	3	0.61
robic	23416	14658	3	3	0.61
Masz	23416	14658	3	3	0.61
ności	23416	14658	3	3	0.61
okazywać	23416	14658	3	3	0.61
odpowied�	23416	14658	3	3	0.61
pochodzi	23416	14658	3	3	0.61
wśr	23416	14658	3	3	0.61
określić	23416	14658	3	3	0.61
podwojne	23416	14658	3	3	0.61
konsta	23416	14658	3	3	0.61
is	23416	14658	3	3	0.61
me	23416	14658	3	3	0.61
danaide	23416	14658	3	3	0.61
niezdolni	23416	14658	3	3	0.61
martinsam	23416	14658	3	3	0.61
paco	23416	14658	3	3	0.61
lopez	23416	14658	3	3	0.61
kalllka	23416	14658	3	3	0.61
strony	23416	14658	3	3	0.61
trafie	23416	14658	3	3	0.61
pok	23416	14658	3	3	0.61
powiedzieć	23416	14658	3	3	0.61
ości�	23416	14658	3	3	0.61
nastawienie	23416	14658	3	3	0.61
fruit	23416	14658	3	3	0.61
Karina	23416	14658	3	3	0.61
Kicia	23416	14658	3	3	0.61
boku	23416	14658	3	3	0.61
dawaj	23416	14658	3	3	0.61
polega	23416	14658	3	3	0.61
Radość	23416	14658	3	3	0.61
brać	23416	14658	3	3	0.61
przychodzi	23416	14658	3	3	0.61
zewn�	23416	14658	3	3	0.61
trz	23416	14658	3	3	0.61
J	23416	14658	3	3	0.61
niepowodzenia	23416	14658	3	3	0.61
śmierci	23416	14658	3	3	0.61
akceptacja	23416	14658	3	3	0.61
abości	23416	14658	3	3	0.61
myśl�	23416	14658	3	3	0.61
cze	23416	14658	3	3	0.61
marca	23416	14658	3	3	0.61
dzien	23416	14658	3	3	0.61
niewiele	23416	14658	3	3	0.61
potrzeba	23416	14658	3	3	0.61
twierdzi�	23416	14658	3	3	0.61
patrz�	23416	14658	3	3	0.61
Jesienne	23416	14658	3	3	0.61
wynikaj�	23416	14658	3	3	0.61
kochania	23416	14658	3	3	0.61
alko	23416	14658	3	3	0.61
nikolinaa	23416	14658	3	3	0.61
cyrkonia	23416	14658	3	3	0.61
chcemy	23416	14658	3	3	0.61
wniosku	23416	14658	3	3	0.61
wpisać	23416	14658	3	3	0.61
wyszukiwarkę	23416	14658	3	3	0.61
zobaczyć	23416	14658	3	3	0.61
tk	23416	14658	3	3	0.61
AleksandraWroclaw	23416	14658	3	3	0.61
czyjegoś	23416	14658	3	3	0.61
dogrose	23416	14658	3	3	0.61
Bo	23416	14658	10	6	0.61
spokoju	23416	14658	10	6	0.61
pod	23416	14658	10	6	0.61
więc	23416	14658	10	6	0.61
Szczęścia	23416	14658	10	6	0.61
p�	23416	14658	9	6	0.58
ug	23416	14658	9	6	0.58
dziś	23416	14658	9	6	0.58
Myślę	23416	14658	9	6	0.58
najbli�	23416	14658	8	5	0.55
sama	23416	14658	8	5	0.55
czyli	23416	14658	8	5	0.55
chwile	23416	14658	8	5	0.55
dziecko	23416	14658	7	5	0.55
mu	23416	14658	7	5	0.55
swoim	23416	14658	7	5	0.55
odczuwacie	23416	14658	7	5	0.55
mozna	23416	14658	7	5	0.55
powodu	23416	14658	7	5	0.55
juz	23416	14658	7	5	0.55
tyle	23416	14658	7	5	0.55
Chyba	23416	14658	7	5	0.55
czasami	23416	14658	7	5	0.55
osoba	23416	14658	7	5	0.55
Was	23416	14658	7	5	0.55
przyjdzie	23416	14658	7	5	0.55
czuję	23416	14658	7	5	0.55
dni	23416	14658	5	4	0.54
Bogiem	23416	14658	5	4	0.54
tki	23416	14658	5	4	0.54
czuje	23416	14658	5	4	0.54
cos	23416	14658	5	4	0.54
nikt	23416	14658	5	4	0.54
posiadania	23416	14658	5	4	0.54
bywa	23416	14658	5	4	0.54
trwa	23416	14658	5	4	0.54
nych	23416	14658	5	4	0.54
opisać	23416	14658	5	4	0.54
temu	23416	14658	5	4	0.54
nale�	23416	14658	5	4	0.54
oni	23416	14658	5	4	0.54
cel	23416	14658	5	4	0.54
aj�	23416	14658	5	4	0.54
Mnie	23416	14658	5	4	0.54
ych	23416	14658	5	4	0.54
W�	23416	14658	5	4	0.54
enie	23416	14658	5	4	0.54
marze�	23416	14658	5	4	0.54
miec	23416	14658	5	4	0.54
Moim	23416	14658	5	4	0.54
aściwie	23416	14658	5	4	0.54
uda�	23416	14658	5	4	0.54
wszystkich	23416	14658	5	4	0.54
janulodz	23416	14658	5	4	0.54
zadowolenie	23416	14658	5	4	0.54
mar	23416	14658	5	4	0.54
niego	23416	14658	5	4	0.54
spelnienie	23416	14658	5	4	0.54
zadowolenia	23416	14658	6	4	0.49
ym	23416	14658	6	4	0.49
oznacza	23416	14658	6	4	0.49
B	23416	14658	6	4	0.49
przed	23416	14658	6	4	0.49
istnieje	23416	14658	6	4	0.49
r�	23416	14658	6	4	0.49
okoliczności	23416	14658	6	4	0.49
powinno	23416	14658	6	4	0.49
ugo	23416	14658	6	4	0.49
rzecz	23416	14658	6	4	0.49
ność	23416	14658	6	4	0.49
moge	23416	14658	6	4	0.49
on	23416	14658	6	4	0.49
kogoś	23416	14658	6	4	0.49
serce	23416	14658	6	4	0.49
Bogu	23416	14658	6	4	0.49
zdrowi	23416	14658	5	3	0.46
uk�	23416	14658	5	3	0.46
prawo	23416	14658	5	3	0.46
usi�	23416	14658	5	3	0.46
taka	23416	14658	5	3	0.46
Oczywiście	23416	14658	5	3	0.46
tku	23416	14658	5	3	0.46
k�	23416	14658	5	3	0.46
D	23416	14658	5	3	0.46
jeden	23416	14658	5	3	0.46
Wed�	23416	14658	5	3	0.46
wsp	23416	14658	5	3	0.46
będziemy	23416	14658	5	3	0.46
Odpowied�	23416	14658	5	3	0.46
zupe�	23416	14658	5	3	0.46
Z	23416	14658	5	3	0.46
Kiedyś	23416	14658	5	3	0.46
dzia�	23416	14658	5	3	0.46
serca	23416	14658	5	3	0.46
podr	23416	14658	5	3	0.46
poprzez	23416	14658	5	3	0.46
nasze	23416	14658	5	3	0.46
adnych	23416	14658	5	3	0.46
twarzy	23416	14658	5	3	0.46
my	23416	14658	5	3	0.46
straci�	23416	14658	5	3	0.46
praktycznie	23416	14658	4	3	0.44
ducha	23416	14658	4	3	0.44
sta�	23416	14658	4	3	0.44
P	23416	14658	4	3	0.44
poziom	23416	14658	4	3	0.44
tutaj	23416	14658	4	3	0.44
recepty	23416	14658	4	3	0.44
względne	23416	14658	4	3	0.44
definicje	23416	14658	4	3	0.44
prawdziwego	23416	14658	4	3	0.44
gorzej	23416	14658	4	3	0.44
znowu	23416	14658	4	3	0.44
wed�	23416	14658	4	3	0.44
da�	23416	14658	4	3	0.44
bycie	23416	14658	4	3	0.44
asnie	23416	14658	4	3	0.44
coraz	23416	14658	4	3	0.44
problemy	23416	14658	4	3	0.44
Udostępnij	23416	14658	4	3	0.44
Komentuj	23416	14658	4	3	0.44
dawać	23416	14658	4	3	0.44
zas�	23416	14658	4	3	0.44
Natomiast	23416	14658	4	3	0.44
idzie	23416	14658	4	3	0.44
moment	23416	14658	4	3	0.44
zosta�	23416	14658	4	3	0.44
stanu	23416	14658	4	3	0.44
materialne	23416	14658	4	3	0.44
ciebie	23416	14658	4	3	0.44
chcę	23416	14658	4	3	0.44
bliskość	23416	14658	4	3	0.44
warto	23416	14658	4	3	0.44
ludziom	23416	14658	4	3	0.44
irytuje	23416	14658	4	3	0.44
prostych	23416	14658	4	3	0.44
pom	23416	14658	4	3	0.44
tek	23416	14658	4	3	0.44
jak�	23416	14658	4	3	0.44
asnego	23416	14658	4	3	0.44
samego	23416	14658	4	3	0.44
Takie	23416	14658	4	3	0.44
swoich	23416	14658	4	3	0.44
Ma�	23416	14658	4	3	0.44
spo�	23416	14658	4	3	0.44
arielka	23416	14658	4	3	0.44
staje	23416	14658	4	3	0.44
afirmacje	23416	14658	4	3	0.44
kochaj�	23416	14658	2	2	0.41
wyborem	23416	14658	2	2	0.41
twoje	23416	14658	2	2	0.41
pierwszy	23416	14658	2	2	0.41
pokora	23416	14658	2	2	0.41
posiadanie	23416	14658	2	2	0.41
wewnętrznie	23416	14658	2	2	0.41
spr	23416	14658	2	2	0.41
codziennie	23416	14658	2	2	0.41
samob	23416	14658	2	2	0.41
Mia�	23416	14658	2	2	0.41
Wszyscy	23416	14658	2	2	0.41
pragniemy	23416	14658	2	2	0.41
zabiegamy	23416	14658	2	2	0.41
towarzyszy	23416	14658	2	2	0.41
nazwać	23416	14658	2	2	0.41
subiektywne	23416	14658	2	2	0.41
niekoniecznie	23416	14658	2	2	0.41
wić	23416	14658	2	2	0.41
Dyskusje	23416	14658	2	2	0.41
znaczeniem	23416	14658	2	2	0.41
receptury	23416	14658	2	2	0.41
kturych	23416	14658	2	2	0.41
zastanawiali	23416	14658	2	2	0.41
kontekscie	23416	14658	2	2	0.41
fizycznego	23416	14658	2	2	0.41
Dlugie	23416	14658	2	2	0.41
prace	23416	14658	2	2	0.41
pozwolily	23416	14658	2	2	0.41
ukierunkowaniem	23416	14658	2	2	0.41
Jednakze	23416	14658	2	2	0.41
osiagnac	23416	14658	2	2	0.41
skupic	23416	14658	2	2	0.41
Najlepsza	23416	14658	2	2	0.41
overcloking	23416	14658	2	2	0.41
wieloma	23416	14658	2	2	0.41
pomagać	23416	14658	2	2	0.41
dobry	23416	14658	2	2	0.41
Goście	23416	14658	2	2	0.41
piszecie	23416	14658	2	2	0.41
euze	23416	14658	2	2	0.41
bia	23416	14658	2	2	0.41
normalny	23416	14658	2	2	0.41
Daj�	23416	14658	2	2	0.41
tys	23416	14658	2	2	0.41
przejedzie	23416	14658	2	2	0.41
wcześniej	23416	14658	2	2	0.41
beaucouptrop	23416	14658	2	2	0.41
pieniedzy	23416	14658	2	2	0.41
nieszczesliwym	23416	14658	2	2	0.41
gwarantuja	23416	14658	2	2	0.41
rki	23416	14658	2	2	0.41
psybezkota	23416	14658	2	2	0.41
madami	23416	14658	2	2	0.41
starczy�	23416	14658	2	2	0.41
sfornarina	23416	14658	2	2	0.41
najczęściej	23416	14658	2	2	0.41
lilia	23416	14658	2	2	0.41
doliny	23416	14658	2	2	0.41
https	23416	14658	2	2	0.41
ysza�	23416	14658	2	2	0.41
pani	23416	14658	2	2	0.41
tau	23416	14658	2	2	0.41
wychodzi	23416	14658	2	2	0.41
niew�	23416	14658	2	2	0.41
tpliwie	23416	14658	2	2	0.41
jakiekolwiek	23416	14658	2	2	0.41
dos�	23416	14658	2	2	0.41
szczesliwym	23416	14658	2	2	0.41
wieku	23416	14658	2	2	0.41
naprawde	23416	14658	2	2	0.41
wymaga�	23416	14658	2	2	0.41
majeczka	23416	14658	2	2	0.41
docenić	23416	14658	2	2	0.41
zdrowe	23416	14658	2	2	0.41
Off	23416	14658	2	2	0.41
Topic	23416	14658	2	2	0.41
mieszkanie	23416	14658	2	2	0.41
wolności	23416	14658	2	2	0.41
wra�	23416	14658	2	2	0.41
wypadku	23416	14658	2	2	0.41
emocja	23416	14658	2	2	0.41
kotek	23416	14658	2	2	0.41
zrobić	23416	14658	2	2	0.41
lnego	23416	14658	2	2	0.41
przyjemności	23416	14658	2	2	0.41
metę	23416	14658	2	2	0.41
twierdzić	23416	14658	2	2	0.41
celem	23416	14658	2	2	0.41
Macie	23416	14658	2	2	0.41
duchowy	23416	14658	2	2	0.41
hormony	23416	14658	2	2	0.41
dobieraj�	23416	14658	2	2	0.41
ro�	23416	14658	2	2	0.41
pow	23416	14658	2	2	0.41
zedytowana	23416	14658	2	2	0.41
Poka�	23416	14658	2	2	0.41
poprzedni�	23416	14658	2	2	0.41
Pech	23416	14658	2	2	0.41
sprzyja	23416	14658	2	2	0.41
satysfakcjonuj�	23416	14658	2	2	0.41
O	23416	14658	2	2	0.41
berdebul	23416	14658	2	2	0.41
ogr	23416	14658	2	2	0.41
zdecydowanie	23416	14658	2	2	0.41
niebieskich	23416	14658	2	2	0.41
idę	23416	14658	2	2	0.41
jakiegoś	23416	14658	2	2	0.41
klaramara	23416	14658	2	2	0.41
agusia	23416	14658	2	2	0.41
gerek	23416	14658	2	2	0.41
okres	23416	14658	2	2	0.41
aqua	23416	14658	2	2	0.41
akseinga	23416	14658	2	2	0.41
poza	23416	14658	2	2	0.41
finansowa	23416	14658	2	2	0.41
ko	23416	14658	2	2	0.41
