target	frequency
regex=[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Ee]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Aa]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Uu]|[Ss][Zz][Cc][Zz][Ęę][Śś][Cc][Ii][Ee][Mm]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Ee]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Aa]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Uu]|[Ss][Zz][Cc][Zz][Ee][Ss][Cc][Ii][Ee][Mm]:?,?	1496
szczęście	587
szczęścia	388
szczescie	182
Szczęście	145
szczęściem	50
SZCZĘŚCIE	29
szczescia	26
Szczescie	25
szczęściu	20
Szczęściem	18
Szczęścia	10
szczesciem	10
Szczesciem	4
szczesciu	2

token	corpus size	all contexts size	frequency	co-frequency	specificity
stwie	23416	14658	2	2	0.41
zetkaad	23416	14658	2	2	0.41
ira	23416	14658	2	2	0.41
sad	23416	14658	2	2	0.41
lasu	23416	14658	2	2	0.41
ORGANICZNIE	23416	14658	2	2	0.41
zostawisz	23416	14658	2	2	0.41
fornita	23416	14658	2	2	0.41
maaria	23416	14658	2	2	0.41
bi	23416	14658	2	2	0.41
scotti	23416	14658	2	2	0.41
chinski	23416	14658	2	2	0.41
czosnek	23416	14658	2	2	0.41
adna	23416	14658	2	2	0.41
zorientowanie	23416	14658	2	2	0.41
przykro	23416	14658	2	2	0.41
musisz	23416	14658	2	2	0.41
pisać	23416	14658	2	2	0.41
system	23416	14658	2	2	0.41
edukacji	23416	14658	2	2	0.41
obce	23416	14658	2	2	0.41
sprzeczne	23416	14658	2	2	0.41
gree	23416	14658	2	2	0.41
nka	23416	14658	2	2	0.41
Nauczy�	23416	14658	2	2	0.41
doros�	23416	14658	2	2	0.41
wype�	23416	14658	2	2	0.41
leptosom	23416	14658	2	2	0.41
haneke	23416	14658	2	2	0.41
yczliwość	23416	14658	2	2	0.41
eat	23416	14658	2	2	0.41
clitoristwood	23416	14658	2	2	0.41
stokrotka	23416	14658	2	2	0.41
soulshuntr	23416	14658	2	2	0.41
zabieganab	23416	14658	2	2	0.41
wrazeni	23416	14658	2	2	0.41
cz	23416	14658	2	2	0.41
nieba	23416	14658	2	2	0.41
chowa	23416	14658	2	2	0.41
naszych	23416	14658	2	2	0.41
lepsze	23416	14658	2	2	0.41
upi	23416	14658	2	2	0.41
ziarnku	23416	14658	2	2	0.41
piasku	23416	14658	2	2	0.41
ska	23416	14658	2	2	0.41
adzy	23416	14658	2	2	0.41
Kocham	23416	14658	2	2	0.41
fakt	23416	14658	2	2	0.41
pla�	23416	14658	2	2	0.41
bliskie	23416	14658	2	2	0.41
ogl�	23416	14658	2	2	0.41
meczy	23416	14658	2	2	0.41
Bayernu	23416	14658	2	2	0.41
Monachium	23416	14658	2	2	0.41
reprezentacji	23416	14658	2	2	0.41
Niemiec	23416	14658	2	2	0.41
wygranych	23416	14658	2	2	0.41
wszechogarniaj�	23416	14658	2	2	0.41
optymistycznie	23416	14658	2	2	0.41
kolega	23416	14658	2	2	0.41
Zgadzam	23416	14658	2	2	0.41
yjecie	23416	14658	2	2	0.41
nię	23416	14658	2	2	0.41
macie	23416	14658	2	2	0.41
ś	23416	14658	2	2	0.41
cele	23416	14658	2	2	0.41
Potrzebny	23416	14658	2	2	0.41
ut	23416	14658	2	2	0.41
bu	23416	14658	2	2	0.41
odszukać	23416	14658	2	2	0.41
zrozumieć	23416	14658	2	2	0.41
mors	23416	14658	2	2	0.41
psychologia	23416	14658	2	2	0.41
yczę	23416	14658	2	2	0.41
duuuuuu�	23416	14658	2	2	0.41
July	23416	14658	2	2	0.41
ulotnego	23416	14658	2	2	0.41
myślenia	23416	14658	2	2	0.41
Nasze	23416	14658	2	2	0.41
mierze	23416	14658	2	2	0.41
sposobu	23416	14658	2	2	0.41
rzecz�	23416	14658	2	2	0.41
drogi	23416	14658	2	2	0.41
echo	23416	14658	2	2	0.41
odzywa	23416	14658	2	2	0.41
dajemy	23416	14658	2	2	0.41
doświadczać	23416	14658	2	2	0.41
lubi	23416	14658	2	2	0.41
powodowany	23416	14658	2	2	0.41
świadomości�	23416	14658	2	2	0.41
pozostawiania	23416	14658	2	2	0.41
otoczenia	23416	14658	2	2	0.41
podobne	23416	14658	2	2	0.41
jedyna	23416	14658	2	2	0.41
mno�	23416	14658	2	2	0.41
Twoim	23416	14658	2	2	0.41
realizacja	23416	14658	2	2	0.41
natury	23416	14658	2	2	0.41
Więcej	23416	14658	2	2	0.41
bowiem	23416	14658	2	2	0.41
zdrowiu	23416	14658	2	2	0.41
gnie	23416	14658	2	2	0.41
drobnych	23416	14658	2	2	0.41
uniwersalnej	23416	14658	2	2	0.41
rzeczywiście	23416	14658	2	2	0.41
Chwile	23416	14658	2	2	0.41
brak�	23416	14658	2	2	0.41
Nowe	23416	14658	2	2	0.41
Pozosta�	23416	14658	2	2	0.41
zatrzymaliście	23416	14658	2	2	0.41
katolika	23416	14658	2	2	0.41
nasz�	23416	14658	2	2	0.41
macierzy�	23416	14658	2	2	0.41
stworzy�	23416	14658	2	2	0.41
Panie	23416	14658	2	2	0.41
utrapieniu	23416	14658	2	2	0.41
Panem	23416	14658	2	2	0.41
świadome	23416	14658	2	2	0.41
zachwytem	23416	14658	2	2	0.41
odkrywam	23416	14658	2	2	0.41
mocne	23416	14658	2	2	0.41
okazywanie	23416	14658	2	2	0.41
zakonne	23416	14658	2	2	0.41
s	23416	14658	2	2	0.41
gorzata	23416	14658	2	2	0.41
Immakulata	23416	14658	2	2	0.41
Magnolio	23416	14658	2	2	0.41
cytacie	23416	14658	2	2	0.41
ONZ	23416	14658	2	2	0.41
rozwoju	23416	14658	2	2	0.41
międzynarodowy	23416	14658	2	2	0.41
Stokrotka	23416	14658	2	2	0.41
ćmy	23416	14658	2	2	0.41
przynosz�	23416	14658	2	2	0.41
Coelho	23416	14658	2	2	0.41
Alhemiku	23416	14658	2	2	0.41
poszukuj�	23416	14658	2	2	0.41
on�	23416	14658	2	2	0.41
ogniu	23416	14658	2	2	0.41
cieplo	23416	14658	2	2	0.41
asdzxcvfsrggxdfsd	23416	14658	2	2	0.41
Tatarkiewicz	23416	14658	2	2	0.41
zdolnosc	23416	14658	2	2	0.41
Prawdziwy	23416	14658	2	2	0.41
nazywamy	23416	14658	2	2	0.41
Marze�	23416	14658	2	2	0.41
spędzona	23416	14658	2	2	0.41
męzem	23416	14658	2	2	0.41
synkiem	23416	14658	2	2	0.41
dziecka	23416	14658	2	2	0.41
oneczny	23416	14658	2	2	0.41
tworzymy	23416	14658	2	2	0.41
spelnic	23416	14658	2	2	0.41
kazdy	23416	14658	2	2	0.41
ośc	23416	14658	2	2	0.41
kup	23416	14658	2	2	0.41
mililitrow	23416	14658	2	2	0.41
wstaw	23416	14658	2	2	0.41
kibla	23416	14658	2	2	0.41
bedziesz	23416	14658	2	2	0.41
mial	23416	14658	2	2	0.41
butelka	23416	14658	2	2	0.41
zdrowa	23416	14658	2	2	0.41
ukochanej	23416	14658	2	2	0.41
radować	23416	14658	2	2	0.41
dzieciak	23416	14658	2	2	0.41
zadowolona	23416	14658	2	2	0.41
radosci	23416	14658	2	2	0.41
czyzna	23416	14658	2	2	0.41
centaurek	23416	14658	2	2	0.41
pogl�	23416	14658	2	2	0.41
wystarcza�	23416	14658	2	2	0.41
cry	23416	14658	2	2	0.41
gru	23416	14658	2	2	0.41
Szczęśliwi	23416	14658	2	2	0.41
raduje	23416	14658	2	2	0.41
zara�	23416	14658	2	2	0.41
bliskiej	23416	14658	2	2	0.41
dupie	23416	14658	2	2	0.41
rzyganie	23416	14658	2	2	0.41
tęcz�	23416	14658	2	2	0.41
sypie	23416	14658	2	2	0.41
nauczy�	23416	14658	2	2	0.41
http	23416	14658	2	2	0.41
afirmować	23416	14658	2	2	0.41
przepisu	23416	14658	2	2	0.41
synvilla	23416	14658	2	2	0.41
dochodze	23416	14658	2	2	0.41
zdobyc	23416	14658	2	2	0.41
bliskości�	23416	14658	2	2	0.41
kombinacj�	23416	14658	2	2	0.41
wszytkich	23416	14658	2	2	0.41
harmonia	23416	14658	2	2	0.41
Odczuwacie	23416	14658	2	2	0.41
szczęśliw�	23416	14658	2	2	0.41
nieniem	23416	14658	2	2	0.41
pragnie�	23416	14658	2	2	0.41
Marzec	23416	14658	2	2	0.41
Netkobiety	23416	14658	2	2	0.41
zdrowy	23416	14658	2	2	0.41
chlopak	23416	14658	2	2	0.41
trudnych	23416	14658	2	2	0.41
Fajnie	23416	14658	2	2	0.41
wiemy	23416	14658	2	2	0.41
chwilach	23416	14658	2	2	0.41
mieszka	23416	14658	2	2	0.41
ogona	23416	14658	2	2	0.41
popularne	23416	14658	2	2	0.41
myslalem	23416	14658	2	2	0.41
roznymi	23416	14658	2	2	0.41
definicjami	23416	14658	2	2	0.41
wiecej	23416	14658	2	2	0.41
uczuc	23416	14658	2	2	0.41
anizeli	23416	14658	2	2	0.41
wydarzen	23416	14658	2	2	0.41
Roland	23416	14658	2	2	0.41
pozytywy	23416	14658	2	2	0.41
rodzinie	23416	14658	3	2	0.36
blisko	23416	14658	3	2	0.36
On	23416	14658	3	2	0.36
buj	23416	14658	3	2	0.36
tce	23416	14658	3	2	0.36
dojrza�	23416	14658	3	2	0.36
odczucie	23416	14658	3	2	0.36
najpierw	23416	14658	3	2	0.36
temacie	23416	14658	3	2	0.36
demu	23416	14658	3	2	0.36
dre	23416	14658	3	2	0.36
forum	23416	14658	3	2	0.36
szczesciara	23416	14658	3	2	0.36
strasznie	23416	14658	3	2	0.36
materialna	23416	14658	3	2	0.36
poziomu	23416	14658	3	2	0.36
plus	23416	14658	3	2	0.36
Więc	23416	14658	3	2	0.36
atwiaj�	23416	14658	3	2	0.36
bogactwo	23416	14658	3	2	0.36
masę	23416	14658	3	2	0.36
us�	23416	14658	3	2	0.36
potrzeb	23416	14658	3	2	0.36
eś	23416	14658	3	2	0.36
pogo�	23416	14658	3	2	0.36
asz	23416	14658	3	2	0.36
ulotne	23416	14658	3	2	0.36
znika	23416	14658	3	2	0.36
zar	23416	14658	3	2	0.36
wno	23416	14658	3	2	0.36
wnętrza	23416	14658	3	2	0.36
szukanie	23416	14658	3	2	0.36
Cię	23416	14658	3	2	0.36
potrzebne	23416	14658	3	2	0.36
relacje	23416	14658	3	2	0.36
Lubię	23416	14658	3	2	0.36
wolność	23416	14658	3	2	0.36
zapytać	23416	14658	3	2	0.36
maadzik	23416	14658	3	2	0.36
kasy	23416	14658	3	2	0.36
wiecznie	23416	14658	3	2	0.36
ania	23416	14658	3	2	0.36
wlasnie	23416	14658	3	2	0.36
partner	23416	14658	3	2	0.36
absolutnie	23416	14658	3	2	0.36
czynnik	23416	14658	3	2	0.36
piszesz	23416	14658	3	2	0.36
przeszkadza	23416	14658	3	2	0.36
wygl�	23416	14658	3	2	0.36
yw	23416	14658	3	2	0.36
wierzę	23416	14658	3	2	0.36
e�	23416	14658	3	2	0.36
normalnie	23416	14658	3	2	0.36
szczera	23416	14658	3	2	0.36
rozmowa	23416	14658	3	2	0.36
danie	23416	14658	3	2	0.36
dziećmi	23416	14658	3	2	0.36
staram	23416	14658	3	2	0.36
ujesz	23416	14658	3	2	0.36
apać	23416	14658	3	2	0.36
swoj�	23416	14658	3	2	0.36
naszej	23416	14658	3	2	0.36
dwie	23416	14658	3	2	0.36
zdarza	23416	14658	3	2	0.36
yciowych	23416	14658	3	2	0.36
Cz�	23416	14658	3	2	0.36
super	23416	14658	3	2	0.36
ogromnym	23416	14658	3	2	0.36
siostry	23416	14658	3	2	0.36
Dzie�	23416	14658	3	2	0.36
podejścia	23416	14658	3	2	0.36
ecze�	23416	14658	3	2	0.36
prawda	23416	14658	3	2	0.36
sercu	23416	14658	3	2	0.36
