target	frequency
regex=[Ff][Ee][Ll][Ii][Cc][Ii][Dd][Aa][Dd]	428
felicidad	428

token	corpus size	all contexts size	frequency	co-frequency	specificity
duradera	9800	6267	1	1	0.19
sostengo	9800	6267	1	1	0.19
nihilista	9800	6267	1	1	0.19
tránsito	9800	6267	1	1	0.19
planos	9800	6267	1	1	0.19
existenciales	9800	6267	1	1	0.19
superiores	9800	6267	1	1	0.19
donde	9800	6267	1	1	0.19
radica	9800	6267	1	1	0.19
eterna	9800	6267	1	1	0.19
replicas	9800	6267	1	1	0.19
interesan	9800	6267	1	1	0.19
apariencias	9800	6267	1	1	0.19
ilusorias	9800	6267	1	1	0.19
seria	9800	6267	1	1	0.19
instancia	9800	6267	1	1	0.19
apoyada	9800	6267	1	1	0.19
indagar	9800	6267	1	1	0.19
racionalmente	9800	6267	1	1	0.19
bases	9800	6267	1	1	0.19
ordenadores	9800	6267	1	1	0.19
antiguos	9800	6267	1	1	0.19
ésos	9800	6267	1	1	0.19
difíciles	9800	6267	1	1	0.19
filosóficas	9800	6267	1	1	0.19
allanan	9800	6267	1	1	0.19
detalles	9800	6267	1	1	0.19
tecnocientíficos	9800	6267	1	1	0.19
explicado	9800	6267	1	1	0.19
ayudarán	9800	6267	1	1	0.19
sabía	9800	6267	1	1	0.19
enlentecimiento	9800	6267	1	1	0.19
tecleado	9800	6267	1	1	0.19
señales	9800	6267	1	1	0.19
button	9800	6267	1	1	0.19
contribuido	9800	6267	1	1	0.19
residencia	9800	6267	1	1	0.19
visitas	9800	6267	1	1	0.19
navidades	9800	6267	1	1	0.19
tuve	9800	6267	1	1	0.19
corolario	9800	6267	1	1	0.19
escuché	9800	6267	1	1	0.19
declaraciones	9800	6267	1	1	0.19
sentí	9800	6267	1	1	0.19
jugadora	9800	6267	1	1	0.19
despegar	9800	6267	1	1	0.19
engaño	9800	6267	1	1	0.19
nociva	9800	6267	1	1	0.19
juegos	9800	6267	1	1	0.19
hagan	9800	6267	1	1	0.19
divierte	9800	6267	1	1	0.19
pve	9800	6267	1	1	0.19
estardiu	9800	6267	1	1	0.19
vali	9800	6267	1	1	0.19
comienzo	9800	6267	1	1	0.19
llegado	9800	6267	1	1	0.19
cansa	9800	6267	1	1	0.19
corazon	9800	6267	1	1	0.19
arepa	9800	6267	1	1	0.19
claramente	9800	6267	1	1	0.19
clase	9800	6267	1	1	0.19
causaría	9800	6267	1	1	0.19
acabás	9800	6267	1	1	0.19
llorando	9800	6267	1	1	0.19
legutóbb	9800	6267	1	1	0.19
szerkesztette	9800	6267	1	1	0.19
utc	9800	6267	1	1	0.19
taller	9800	6267	1	1	0.19
temático	9800	6267	1	1	0.19
grabación	9800	6267	1	1	0.19
definiciones	9800	6267	1	1	0.19
describe	9800	6267	1	1	0.19
involucrando	9800	6267	1	1	0.19
relacionan	9800	6267	1	1	0.19
positivamente	9800	6267	1	1	0.19
cree	9800	6267	1	1	0.19
impacto	9800	6267	1	1	0.19
positivo	9800	6267	1	1	0.19
facilitar	9800	6267	1	1	0.19
juicios	9800	6267	1	1	0.19
impactan	9800	6267	1	1	0.19
aparecido	9800	6267	1	1	0.19
revistas	9800	6267	1	1	0.19
millones	9800	6267	1	1	0.19
páginas	9800	6267	1	1	0.19
vistas	9800	6267	1	1	0.19
empleados	9800	6267	1	1	0.19
calificado	9800	6267	1	1	0.19
mejores	9800	6267	1	1	0.19
resumo	9800	6267	1	1	0.19
vinculado	9800	6267	1	1	0.19
consecución	9800	6267	1	1	0.19
tuviese	9800	6267	1	1	0.19
preferiría	9800	6267	1	1	0.19
ricos	9800	6267	1	1	0.19
partiendo	9800	6267	1	1	0.19
tesis	9800	6267	1	1	0.19
sinonimo	9800	6267	1	1	0.19
salir	9800	6267	1	1	0.19
rueda	9800	6267	1	1	0.19
rata	9800	6267	1	1	0.19
fíjate	9800	6267	1	1	0.19
ramdon	9800	6267	1	1	0.19
rotundamente	9800	6267	1	1	0.19
triste	9800	6267	1	1	0.19
yate	9800	6267	1	1	0.19
cuantas	9800	6267	1	1	0.19
horas	9800	6267	1	1	0.19
pura	9800	6267	1	1	0.19
bancos	9800	6267	1	1	0.19
cajas	9800	6267	1	1	0.19
ahorros	9800	6267	1	1	0.19
rss	9800	6267	1	1	0.19
josep	9800	6267	1	1	0.19
pla	9800	6267	1	1	0.19
dure	9800	6267	1	1	0.19
faltaba	9800	6267	1	1	0.19
acúfenos	9800	6267	1	1	0.19
robaran	9800	6267	1	1	0.19
buscarla	9800	6267	1	1	0.19
aquel	9800	6267	1	1	0.19
pretenda	9800	6267	1	1	0.19
permanente	9800	6267	1	1	0.19
happyflower	9800	6267	1	1	0.19
encontrará	9800	6267	1	1	0.19
evidentemente	9800	6267	1	1	0.19
usagich	9800	6267	1	1	0.19
vacíos	9800	6267	1	1	0.19
engañan	9800	6267	1	1	0.19
autentica	9800	6267	1	1	0.19
mujer	9800	6267	1	1	0.19
determinada	9800	6267	1	1	0.19
condon	9800	6267	1	1	0.19
monumentos	9800	6267	1	1	0.19
pones	9800	6267	1	1	0.19
callejeros	9800	6267	1	1	0.19
estallado	9800	6267	1	1	0.19
sálvese	9800	6267	1	1	0.19
veo	9800	6267	1	1	0.19
detecto	9800	6267	1	1	0.19
falsa	9800	6267	1	1	0.19
fugaz	9800	6267	1	1	0.19
teniendo	9800	6267	1	1	0.19
iluminador	9800	6267	1	1	0.19
vislumbrar	9800	6267	1	1	0.19
tontería	9800	6267	1	1	0.19
regalos	9800	6267	1	1	0.19
emocionales	9800	6267	1	1	0.19
reconocimiento	9800	6267	1	1	0.19
elogios	9800	6267	1	1	0.19
personales	9800	6267	1	1	0.19
países	9800	6267	1	1	0.19
bajos	9800	6267	1	1	0.19
infantil	9800	6267	1	1	0.19
salen	9800	6267	1	1	0.19
grafica	9800	6267	1	1	0.19
chungking	9800	6267	1	1	0.19
adquiere	9800	6267	1	1	0.19
significado	9800	6267	1	1	0.19
retraso	9800	6267	1	1	0.19
twitter	9800	6267	1	1	0.19
Índice	9800	6267	1	1	0.19
cabeza	9800	6267	1	1	0.19
aproximaducho	9800	6267	1	1	0.19
comment icon	9800	6267	1	1	0.19
total	9800	6267	1	1	0.19
idioma	9800	6267	1	1	0.19
english	9800	6267	1	1	0.19
resetear	9800	6267	1	1	0.19
repetir	9800	6267	1	1	0.19
temas	9800	6267	1	1	0.19
pulsando	9800	6267	1	1	0.19
encantados	9800	6267	1	1	0.19
recordarlo	9800	6267	1	1	0.19
inspiración	9800	6267	1	1	0.19
seguridad	9800	6267	1	1	0.19
voy	9800	6267	1	1	0.19
checos	9800	6267	1	1	0.19
burbuja	9800	6267	1	1	0.19
cristal	9800	6267	1	1	0.19
propicia	9800	6267	1	1	0.19
cuele	9800	6267	1	1	0.19
rendijas	9800	6267	1	1	0.19
hogares	9800	6267	1	1	0.19
salodari	9800	6267	1	1	0.19
carita	9800	6267	1	1	0.19
mil	9800	6267	1	1	0.19
valiosa	9800	6267	1	1	0.19
olor	9800	6267	1	1	0.19
mantequilla	9800	6267	1	1	0.19
remota	9800	6267	1	1	0.19
vertiginosa	9800	6267	1	1	0.19
tamaña	9800	6267	1	1	0.19
obra	9800	6267	1	1	0.19
hostiles	9800	6267	1	1	0.19
aspirando	9800	6267	1	1	0.19
plenitud	9800	6267	1	1	0.19
acechada	9800	6267	1	1	0.19
miedo	9800	6267	1	1	0.19
terror	9800	6267	1	1	0.19
alojamientos	9800	6267	1	1	0.19
perhentian	9800	6267	1	1	0.19
malasia	9800	6267	1	1	0.19
hoteles	9800	6267	1	1	0.19
cabañas	9800	6267	1	1	0.19
cambiar	9800	6267	1	1	0.19
seleccione	9800	6267	1	1	0.19
ir	9800	6267	1	1	0.19
subjetiva	9800	6267	1	1	0.19
ergo	9800	6267	1	1	0.19
inversa	9800	6267	1	1	0.19
excusa	9800	6267	1	1	0.19
cumulo	9800	6267	1	1	0.19
factores	9800	6267	1	1	0.19
entendemos	9800	6267	1	1	0.19
demostrada	9800	6267	1	1	0.19
kebab	9800	6267	1	1	0.19
extendido	9800	6267	1	1	0.19
justificar	9800	6267	1	1	0.19
miserable	9800	6267	1	1	0.19
llevan	9800	6267	1	1	0.19
crece	9800	6267	1	1	0.19
exponencialmente	9800	6267	1	1	0.19
aporta	9800	6267	1	1	0.19
nula	9800	6267	1	1	0.19
libre	9800	6267	1	1	0.19
obviamente	9800	6267	1	1	0.19
fácil	9800	6267	1	1	0.19
alturas	9800	6267	1	1	0.19
per	9800	6267	1	1	0.19
generan	9800	6267	1	1	0.19
solucionar	9800	6267	1	1	0.19
fácilmente	9800	6267	1	1	0.19
problemas	9800	6267	1	1	0.19
hecha	9800	6267	1	1	0.19
suele	9800	6267	1	1	0.19
