target	frequency
regex=[Ff][Ee][Ll][Ii][Cc][Ii][Dd][Aa][Dd]	428
felicidad	428

token	corpus size	all contexts size	frequency	co-frequency	specificity
ti	9800	6267	3	3	0.58
ámbito	9800	6267	3	3	0.58
viene	9800	6267	3	3	0.58
personal	9800	6267	3	3	0.58
problema	9800	6267	3	3	0.58
llega	9800	6267	3	3	0.58
última	9800	6267	3	3	0.58
actual	9800	6267	3	3	0.58
buenos	9800	6267	3	3	0.58
malos	9800	6267	3	3	0.58
amargura	9800	6267	3	3	0.58
fuertes	9800	6267	3	3	0.58
peleas	9800	6267	3	3	0.58
rompimientos	9800	6267	3	3	0.58
desepciones	9800	6267	3	3	0.58
inspira	9800	6267	3	3	0.58
digamos	9800	6267	3	3	0.58
perfecto	9800	6267	3	3	0.58
asusta	9800	6267	3	3	0.58
prÁcticamente	9800	6267	3	3	0.58
circulo	9800	6267	3	3	0.58
ampliamente	9800	6267	3	3	0.58
demostrado	9800	6267	3	3	0.58
dan	9800	6267	3	3	0.58
básico	9800	6267	3	3	0.58
profundamente	9800	6267	3	3	0.58
llorar	9800	6267	3	3	0.58
mito	9800	6267	3	3	0.58
envío	9800	6267	3	3	0.58
publicado	9800	6267	3	3	0.58
viajeros	9800	6267	3	3	0.58
llamada	9800	6267	3	3	0.58
recompensas	9800	6267	3	3	0.58
manera	9800	6267	3	3	0.58
opiniones	9800	6267	3	3	0.58
primera	9800	6267	3	3	0.58
puesta	9800	6267	3	3	0.58
aswan	9800	6267	3	3	0.58
chilaba	9800	6267	3	3	0.58
motonave	9800	6267	3	3	0.58
casi	9800	6267	3	3	0.58
ayuda	9800	6267	3	3	0.58
entender	9800	6267	3	3	0.58
entiende	9800	6267	3	3	0.58
principio	9800	6267	3	3	0.58
ideas	9800	6267	3	3	0.58
material	9800	6267	3	3	0.58
contraste	9800	6267	3	3	0.58
entre	9800	6267	9	6	0.57
existe	9800	6267	9	6	0.57
nosotros	9800	6267	8	5	0.55
idea	9800	6267	8	5	0.55
e	9800	6267	7	5	0.53
filosofía	9800	6267	7	5	0.53
ello	9800	6267	7	5	0.53
sensación	9800	6267	7	5	0.53
deber	9800	6267	7	5	0.53
libros	9800	6267	5	4	0.52
modo	9800	6267	5	4	0.52
pensar	9800	6267	5	4	0.52
era	9800	6267	5	4	0.52
hoy	9800	6267	5	4	0.52
desarrollo	9800	6267	5	4	0.52
v	9800	6267	5	4	0.52
final	9800	6267	5	4	0.52
persona	9800	6267	5	4	0.52
tic	9800	6267	5	4	0.52
tienen	9800	6267	5	4	0.52
ver	9800	6267	5	4	0.52
venir	9800	6267	5	4	0.52
conocimiento	9800	6267	5	4	0.52
misma	9800	6267	5	4	0.52
punto	9800	6267	6	4	0.49
mucho	9800	6267	6	4	0.49
depende	9800	6267	6	4	0.49
demás	9800	6267	6	4	0.49
pueden	9800	6267	6	4	0.49
sentido	9800	6267	6	4	0.49
usar	9800	6267	5	3	0.47
poco	9800	6267	5	3	0.47
severos	9800	6267	5	3	0.47
ese	9800	6267	5	3	0.47
crítica	9800	6267	5	3	0.47
gran	9800	6267	5	3	0.47
personas	9800	6267	5	3	0.47
gracias	9800	6267	5	3	0.47
cierto	9800	6267	5	3	0.47
comentarios	9800	6267	5	3	0.47
noche	9800	6267	5	3	0.47
ella	9800	6267	5	3	0.47
ética	9800	6267	5	3	0.47
lado	9800	6267	5	3	0.47
cencerrado	9800	6267	5	3	0.47
placer	9800	6267	4	3	0.42
ideal	9800	6267	4	3	0.42
hecho	9800	6267	4	3	0.42
solo	9800	6267	4	3	0.42
realmente	9800	6267	4	3	0.42
largo	9800	6267	4	3	0.42
ninguna	9800	6267	4	3	0.42
comentario	9800	6267	4	3	0.42
necesario	9800	6267	4	3	0.42
deseo	9800	6267	4	3	0.42
cuestión	9800	6267	4	3	0.42
tal	9800	6267	4	3	0.42
profunda	9800	6267	4	3	0.42
altas	9800	6267	4	3	0.42
bajas	9800	6267	4	3	0.42
gratitud	9800	6267	4	3	0.42
básica	9800	6267	4	3	0.42
sÍ	9800	6267	4	3	0.42
estudios	9800	6267	4	3	0.42
prefiero	9800	6267	4	3	0.42
vivir	9800	6267	4	3	0.42
año	9800	6267	4	3	0.42
conseguir	9800	6267	4	3	0.42
casa	9800	6267	4	3	0.42
emilio	9800	6267	4	3	0.42
subjetivo	9800	6267	4	3	0.42
había	9800	6267	4	3	0.42
mencioné	9800	6267	2	2	0.39
priorizar	9800	6267	2	2	0.39
implicar	9800	6267	2	2	0.39
crear	9800	6267	2	2	0.39
puedan	9800	6267	2	2	0.39
producir	9800	6267	2	2	0.39
humanos	9800	6267	2	2	0.39
probablemente	9800	6267	2	2	0.39
dichos	9800	6267	2	2	0.39
conformistas	9800	6267	2	2	0.39
suficientemente	9800	6267	2	2	0.39
análoga	9800	6267	2	2	0.39
suma	9800	6267	2	2	0.39
duración	9800	6267	2	2	0.39
propuestas	9800	6267	2	2	0.39
objetivos	9800	6267	2	2	0.39
razones	9800	6267	2	2	0.39
entendiendo	9800	6267	2	2	0.39
sostiene	9800	6267	2	2	0.39
retrocesos	9800	6267	2	2	0.39
cíclicos	9800	6267	2	2	0.39
tienden	9800	6267	2	2	0.39
imponer	9800	6267	2	2	0.39
induciendo	9800	6267	2	2	0.39
dependa	9800	6267	2	2	0.39
creemos	9800	6267	2	2	0.39
quizá	9800	6267	2	2	0.39
torno	9800	6267	2	2	0.39
solamente	9800	6267	2	2	0.39
finalmente	9800	6267	2	2	0.39
goce	9800	6267	2	2	0.39
completa	9800	6267	2	2	0.39
camina	9800	6267	2	2	0.39
alma	9800	6267	2	2	0.39
acuerdo	9800	6267	2	2	0.39
consciente	9800	6267	2	2	0.39
monje	9800	6267	2	2	0.39
libro	9800	6267	2	2	0.39
considera	9800	6267	2	2	0.39
quien	9800	6267	2	2	0.39
recibe	9800	6267	2	2	0.39
nueva	9800	6267	2	2	0.39
basado	9800	6267	2	2	0.39
trabajo	9800	6267	2	2	0.39
modelo	9800	6267	2	2	0.39
sólida	9800	6267	2	2	0.39
toda	9800	6267	2	2	0.39
cuestiones	9800	6267	2	2	0.39
formación	9800	6267	2	2	0.39
estas	9800	6267	2	2	0.39
ignorancia	9800	6267	2	2	0.39
presentes	9800	6267	2	2	0.39
conscientes	9800	6267	2	2	0.39
experimentar	9800	6267	2	2	0.39
vidas	9800	6267	2	2	0.39
tú	9800	6267	2	2	0.39
sa	9800	6267	2	2	0.39
xd	9800	6267	2	2	0.39
pierden	9800	6267	2	2	0.39
traiciones	9800	6267	2	2	0.39
obtencion	9800	6267	2	2	0.39
crean	9800	6267	2	2	0.39
doble	9800	6267	2	2	0.39
elegir	9800	6267	2	2	0.39
cuesta	9800	6267	2	2	0.39
estúpidos	9800	6267	2	2	0.39
piensan	9800	6267	2	2	0.39
seguro	9800	6267	2	2	0.39
ferrari	9800	6267	2	2	0.39
tranquilo	9800	6267	2	2	0.39
hobbies	9800	6267	2	2	0.39
q	9800	6267	2	2	0.39
gusten	9800	6267	2	2	0.39
diafrutar	9800	6267	2	2	0.39
visto	9800	6267	2	2	0.39
dar	9800	6267	2	2	0.39
jue	9800	6267	2	2	0.39
dic	9800	6267	2	2	0.39
ciertamente	9800	6267	2	2	0.39
serio	9800	6267	2	2	0.39
volver	9800	6267	2	2	0.39
consecuencias	9800	6267	2	2	0.39
covid	9800	6267	2	2	0.39
diversas	9800	6267	2	2	0.39
profundas	9800	6267	2	2	0.39
alternativa	9800	6267	2	2	0.39
alejan	9800	6267	2	2	0.39
petardos	9800	6267	2	2	0.39
sociales	9800	6267	2	2	0.39
puntuación	9800	6267	2	2	0.39
económico	9800	6267	2	2	0.39
etapa	9800	6267	2	2	0.39
absoluta	9800	6267	2	2	0.39
sirve	9800	6267	2	2	0.39
breve	9800	6267	2	2	0.39
pequeña	9800	6267	2	2	0.39
julio	9800	6267	2	2	0.39
madrid	9800	6267	2	2	0.39
disfrute	9800	6267	2	2	0.39
tantos	9800	6267	2	2	0.39
sitios	9800	6267	2	2	0.39
bonitos	9800	6267	2	2	0.39
información	9800	6267	2	2	0.39
pago	9800	6267	2	2	0.39
inicial	9800	6267	2	2	0.39
reserva	9800	6267	2	2	0.39
cris	9800	6267	2	2	0.39
algún	9800	6267	2	2	0.39
alojamiento	9800	6267	2	2	0.39
consciencia	9800	6267	2	2	0.39
veces	9800	6267	2	2	0.39
supone	9800	6267	2	2	0.39
garantiza	9800	6267	2	2	0.39
utopía	9800	6267	2	2	0.39
alcance	9800	6267	2	2	0.39
vende	9800	6267	2	2	0.39
proyecto	9800	6267	2	2	0.39
dispositivo	9800	6267	2	2	0.39
máxima	9800	6267	2	2	0.39
queridos	9800	6267	2	2	0.39
poner	9800	6267	2	2	0.39
piensa	9800	6267	2	2	0.39
siente	9800	6267	2	2	0.39
reflexión	9800	6267	2	2	0.39
estudio	9800	6267	2	2	0.39
